Followers,Total Videos,Upload Year,Upload Month,Upload Day,Upload Weekday,Engagement Rate,Number of Hashtags,Upload_Afternoon,Upload_Evening,Upload_Midnight,Upload_Morning
708200,9,2020,2,12,3,0.0090327591075967,0,0,0,0,1
708200,9,2020,2,9,7,0.0146371081615362,0,0,1,0,0
8500000,663,2020,11,7,6,0.0001084705882352,5,0,1,0,0
8500000,663,2020,11,7,6,0.0004923529411764,8,0,1,0,0
8500000,663,2020,11,7,6,0.0006869411764705,6,0,1,0,0
8500000,663,2020,11,7,6,0.0012701176470588,5,0,1,0,0
8500000,663,2020,11,7,6,0.0043464705882352,6,0,0,1,0
8500000,663,2020,11,7,6,0.0032978823529411,7,0,0,1,0
8500000,663,2020,11,7,6,0.0051887058823529,6,0,0,1,0
8500000,663,2020,11,6,5,0.0010109411764705,2,0,1,0,0
8500000,663,2020,11,6,5,0.0009614117647058,8,0,0,1,0
8500000,663,2020,11,6,5,0.002855294117647,7,0,0,1,0
8500000,663,2020,11,6,5,0.0017814117647058,4,0,0,1,0
8500000,663,2020,11,5,4,0.0024975294117647,6,0,1,0,0
8500000,663,2020,11,5,4,0.0020785882352941,7,0,1,0,0
8500000,663,2020,11,5,4,0.0023384705882352,5,0,0,1,0
8500000,663,2020,11,5,4,0.0039164705882352,6,0,0,1,0
8500000,663,2020,11,4,3,0.0039874117647058,7,0,1,0,0
8500000,663,2020,11,4,3,0.0009491764705882,5,1,0,0,0
8500000,663,2020,11,3,2,0.0038864705882352,7,0,1,0,0
8500000,663,2020,11,3,2,0.0019290588235294,5,0,1,0,0
8500000,663,2020,11,3,2,0.004145294117647,6,0,0,1,0
8500000,663,2020,11,2,1,0.0021184705882352,8,0,1,0,0
8500000,663,2020,11,2,1,0.044857294117647,7,0,1,0,0
8500000,663,2020,11,2,1,0.0029308235294117,4,0,0,1,0
8500000,663,2020,11,2,1,0.0048429411764705,7,0,0,1,0
8500000,663,2020,11,1,7,0.0041664705882352,6,0,1,0,0
4700000,25,2020,10,27,2,0.0119314893617021,1,1,0,0,0
4700000,25,2020,10,20,2,0.0341008510638297,2,1,0,0,0
4700000,25,2020,10,9,5,0.0465197872340425,1,1,0,0,0
